technique_ID,sub_technique_ID,technique_name,technique
T1001,T1001.001,Data Obfuscation: Junk Data,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm. Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire."
T1001,T1001.001,Data Obfuscation: Junk Data,BendyBear has used byte randomization to obscure its behavior.
T1001,T1001.001,Data Obfuscation: Junk Data,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them."
T1001,T1001.001,Data Obfuscation: Junk Data,GoldMax has used decoy traffic to surround its malicious network traffic to avoid detection.
T1001,T1001.001,Data Obfuscation: Junk Data,GrimAgent  can pad C2 messages with random generated values.
T1001,T1001.001,Data Obfuscation: Junk Data,Kevin can generate a sequence of dummy HTTP C2 requests to obscure traffic.
T1001,T1001.001,Data Obfuscation: Junk Data,Mori has obfuscated the FML.dll with 200MB of junk data.
T1001,T1001.001,Data Obfuscation: Junk Data,P2P ZeuS added junk data to outgoing UDP packets to peer implants.
T1001,T1001.001,Data Obfuscation: Junk Data,P8RAT can send randomly-generated data as part of its C2 communication.
T1001,T1001.001,Data Obfuscation: Junk Data,PLEAD samples were found to be highly obfuscated with junk code.
T1001,T1001.001,Data Obfuscation: Junk Data,SUNBURST added junk bytes to its C2 over HTTP.
T1001,T1001.001,Data Obfuscation: Junk Data,TrailBlazer has used random identifier strings to obscure its C2 operations and result codes.
T1001,T1001.001,Data Obfuscation: Junk Data,Turian can insert pseudo-random characters into its network encryption setup.
T1001,T1001.001,Data Obfuscation: Junk Data,Uroburos can add extra characters in encoded strings to help mimic DNS legitimate requests.
T1001,T1001.001,Data Obfuscation: Junk Data,WellMess can use junk data in the Base64 string for additional obfuscation.
T1001,T1001.002,Data Obfuscation: Steganography,Axiom has used steganography to hide its C2 communications.
T1001,T1001.002,Data Obfuscation: Steganography,Daserf can use steganography to hide malicious code downloaded to the victim.
